id,citation,domain,model_object,critical_regime,metric,primary_output,overlap,missing_for_direct_reduction,direct_duplicate,reduction_risk,verdict
L1,"Arjevani and Vinograd, Symmetry & Critical Points for Symmetric Tensor Decomposition Problems, arXiv:2306.07886v5 (2025)",symmetric tensor decomposition,sum of symmetric rank-one powers,high-symmetry critical families,tensor least squares,exact/asymptotic objective values and Hessian spectra,symmetry-adapted sector decomposition and Morse index analysis,"different parameterized variety; no single Chow product, repeated-factor Wick/raw pair, or ambient index-conversion formula",NO,HIGH_FRAMEWORK_OVERLAP,CLOSEST_SPECTRAL_FRAMEWORK_NOT_FORMULA_DUPLICATE
L2,"Arjevani, Bruna, Kileel, Polak, and Trager, Geometry and Optimization of Shallow Polynomial Networks, SIAM J. Applied Algebra and Geometry 10(2):174-209 (2026), doi:10.1137/25M1732994",polynomial neural networks,sums of powers / bounded-rank symmetric tensors,teacher-student low-rank approximation,distribution-induced tensor inner products,general geometry plus complete quadratic Gaussian Hessian signatures,teacher metric and data-distribution dependence of landscape,complete landscape result is quadratic; no arbitrary-order product of distinct linear factors or repeated-factor six-sector raw formula,NO,HIGH_FRAMEWORK_OVERLAP,NOT_AN_IMMEDIATE_ARBITRARY_ORDER_SPECIALIZATION
L3,"Torrance and Vannieuwenhoven, Almost all subgeneric third-order Chow decompositions are identifiable, Annali di Matematica 201:2891-2905 (2022), doi:10.1007/s10231-022-01224-8",Chow varieties,products of linear forms and their secants,generic/subgeneric decompositions and smooth locus,usual ambient Euclidean geometry,identifiability and smooth-locus/minimal-submanifold statements,same algebraic variety of products of linear forms,repeated-factor point has a singular parameter fiber; no full factor-coordinate teacher-student Hessian spectrum,NO,MEDIUM_HIGH,GEOMETRIC_NEIGHBOR_NOT_LOCAL_SPECTRUM_DUPLICATE
L4,"Kubjas, Li, and Wiesmann, Geometry of Polynomial Neural Networks, Algebraic Statistics 15(2):295-328 (2024), doi:10.2140/astat.2024.15.295",algebraic geometry of polynomial networks,neurovarieties / polynomial parameterizations,function-space geometry and dimensions,algebraic/statistical geometry,"geometry, dimensions, learning degree and identifiability-type properties",places polynomial networks in algebraic varieties,does not state repeated-product population Hessian sectors or Wick/raw inertia,NO,MEDIUM,BACKGROUND_FRAMEWORK
L5,"Levin, Kileel, and Boumal, The effect of smooth parametrizations on nonconvex optimization landscapes, Mathematical Programming 209:63-111 (2025), doi:10.1007/s10107-024-02058-3",smooth lifts and nonconvex landscapes,general smooth parameterizations,stationarity and second-order criticality under lifts,general smooth cost,general lift conditions and first/second-order chain rules,explains Gauss-Newton plus residual-curvature decomposition,"leaves the model-specific residual bilinear form, permanent/Isserlis coefficients, signs and multiplicities uncomputed",NO,HIGH_CONCEPTUAL_REDUCTION,MECHANISM_CLASS_REDUCTION_NOT_FORMULA_REDUCTION
L6,"Kozhasov, Muniz, Qi, and Sodomaco, On the minimal algebraic complexity of the rank-one approximation problem for general inner products, Mathematics of Computation, doi:10.1090/mcom/4176; arXiv:2309.15105v3",Euclidean-distance degree and tensor inner products,rank-one Segre-Veronese approximation,generic critical points,varying tensor inner products,critical-point count / ED degree as a function of the inner product,inner product changes optimization geometry,counts generic critical points rather than resolving signed local spectrum at a fixed singular product factorization,NO,MEDIUM,INNER_PRODUCT_NEIGHBOR_NOT_HESSIAN_DUPLICATE
L7,"Yuan and Parrilo, Maximizing Products of Linear Forms, and the Permanent of Positive Semidefinite Matrices, arXiv:2002.04149 (2020)",permanent and product optimization,products of linear forms / PSD permanents,global product maximization,deterministic algebraic optimization,product-permanent connection and approximation algorithms,permanent appears naturally with products of linear forms,different objective; no teacher-student collapsed Hessian or Wick/raw metric comparison,NO,LOW_MEDIUM,PERMANENT_BACKGROUND
L8,"Kuehn and Rosenow, Explaining Near-Zero Hessian Eigenvalues Through Approximate Symmetries in Neural Networks, arXiv:2607.07845 (2026)",symmetry and Hessian zero modes,deep linear and ReLU networks,exact and weakly broken parameter symmetries,training loss Hessian,zero/pseudo-Goldstone modes and spectral localization,null sectors can be lifted by changing the model/metric,"no exact product-of-linear-forms formula, eigenspace col(U)^perp tensor 1^perp, or index increase (d-L)(L-1)",NO,MEDIUM_CONCEPTUAL,CONCEPTUAL_ANALOGUE_ONLY
L9,"Trager, Kohn, and Bruna, Pure and Spurious Critical Points: A Geometric Study of Linear Networks, arXiv:1910.01671 (2019)",function-space versus parameter-space criticality,linear networks / parameterized function spaces,pure and spurious critical points,least squares,geometric distinction between function and parameter criticality,parameter fiber can create critical phenomena absent in function space,no high-order product map or exact Gaussian/Wick spectrum,NO,MEDIUM_CONCEPTUAL,GENERAL_POSITIONING
L10,"Rawal and DeWeese, A Theory of Saddle Escape in Deep Nonlinear Networks, arXiv:2605.01288v2 (2026)",nonlinear saddle escape,deep nonlinear networks with bottleneck layers,small-initialization plateaus and escape,training dynamics,reduced dynamics and escape-time laws,weak negative curvature can control long plateaus,no product-of-linear-forms collapsed Hessian or Wick/raw inertia formula,NO,LOW_FOR_DUPLICATION,DYNAMICAL_CONTEXT_ONLY
